movieId,title,genres
0,Toy Story,Adventure|Animation|Children|Comedy|Fantasy
1,Jumanji,Adventure|Children|Fantasy
2,Grumpier Old Men,Comedy|Romance
3,Waiting to Exhale,Comedy|Drama|Romance
4,Father of the Bride Part II,Comedy
5,Heat,Action|Crime|Thriller
6,Sabrina,Comedy|Romance
7,Tom and Huck,Adventure|Children
8,Sudden Death,Action
9,GoldenEye,Action|Adventure|Thriller
10,"American President, The",Comedy|Drama|Romance
11,Dracula: Dead and Loving It,Comedy|Horror
12,Balto,Adventure|Animation|Children
13,Nixon,Drama
14,Cutthroat Island,Action|Adventure|Romance
15,Casino,Crime|Drama
16,Sense and Sensibility,Drama|Romance
17,Four Rooms,Comedy
18,Ace Ventura: When Nature Calls,Comedy
19,Money Train,Action|Comedy|Crime|Drama|Thriller
20,Get Shorty,Comedy|Crime|Thriller
21,Copycat,Crime|Drama|Horror|Mystery|Thriller
22,Assassins,Action|Crime|Thriller
23,Powder,Drama|Sci-Fi
24,Leaving Las Vegas,Drama|Romance
25,Othello,Drama
26,Now and Then,Children|Drama
27,Persuasion,Drama|Romance
28,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
29,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama
30,Dangerous Minds,Drama
31,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller
32,Babe,Children|Drama
33,Carrington,Drama|Romance
34,Dead Man Walking,Crime|Drama
35,It Takes Two,Children|Comedy
36,Clueless,Comedy|Romance
37,"Cry, the Beloved Country",Drama
38,Richard III,Drama|War
39,Dead Presidents,Action|Crime|Drama
40,Restoration,Drama
41,Mortal Kombat,Action|Adventure|Fantasy
42,To Die For,Comedy|Drama|Thriller
43,How to Make an American Quilt,Drama|Romance
44,Seven (a.k.a. Se7en),Mystery|Thriller
45,Pocahontas,Animation|Children|Drama|Musical|Romance
46,When Night Is Falling,Drama|Romance
47,"Usual Suspects, The",Crime|Mystery|Thriller
48,Mighty Aphrodite,Comedy|Drama|Romance
49,"Big Green, The",Children|Comedy
50,Georgia,Drama
51,Home for the Holidays,Drama
52,"Postman, The (Postino, Il)",Comedy|Drama|Romance
53,"Indian in the Cupboard, The",Adventure|Children|Fantasy
54,Eye for an Eye,Drama|Thriller
55,Mr. Holland's Opus,Drama
56,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime
57,Two if by Sea,Comedy|Romance
58,Bio-Dome,Comedy
59,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller
60,French Twist (Gazon maudit),Comedy|Romance
61,Friday,Comedy
