qmdbId,movieId,tmdbId,imdbId,year,genre_kws,description_kws,cast_kws
0,0,862,114709,1995,"['comedy', 'family', 'animation']","['comes', 'friends', 'next', 'jealousy', 'rivalry', 'life', 'new', 'door', 'toy', 'friendship', 'to', 'boy']","['Rickles', 'Tom', 'Allen', 'Hanks', 'Tim', 'Don', 'John', 'Lasseter']"
1,9,710,113189,1995,"['action', 'adventure', 'thriller']","['pulse', 'base', 'special', 'ejection', 'cuba', 'accused', 'electromagnetic', 'seat', 'petersburg', 'st.', 'bomb', 'falsely', 'satellite', 'identity', 'car', 'intelligence', 'time', 'red', 'army', 'computer', 'cossack', 'kgb', 'secret', 'russia', 'virus', 'service']","['Brosnan', 'Pierce', 'Izabella', 'Sean', 'Scorupco', 'Bean', 'Martin', 'Campbell']"
2,10,9087,112346,1995,"['comedy', 'drama', 'romance']","['usa', 'widower', 'house', 'white', 'wildlife', 'new', 'conservation', 'president', 'love']","['Douglas', 'Fox', 'Bening', 'Annette', 'Michael', 'J.', 'Rob', 'Reiner']"
3,13,10858,113987,1995,"['drama', 'history']","['figure', 'usa', 'government', 'biography', 'scandal', 'presidential', 'election', 'watergate', 'president', 'historical']","['Boothe', 'Joan', 'Powers', 'Allen', 'Hopkins', 'Anthony', 'Oliver', 'Stone']"
4,14,1408,112760,1995,"['action', 'adventure']","['scalp', 'map', 'island', 'ship', 'treasure', 'pirate', 'exotic']","['Matthew', 'Davis', 'Modine', 'Frank', 'Langella', 'Geena', 'Renny', 'Harlin']"
5,15,524,112641,1995,"['crime', 'drama']","['prostitution', 'abuse', 'poker', 'drug', 'illegal', 'overdose', '1970s']","['Sharon', 'De', 'Joe', 'Niro', 'Robert', 'Pesci', 'Stone', 'Martin', 'Scorsese']"
6,16,4584,114388,1995,"['drama', 'romance']","['inheritance', 'austen', 'novel', 'servant', 'based', 'carriage', 'jane', 'military', 'life', 'horse', 'bowling', 'rainstorm', 'officer', 'country', 'period', 'decorum', 'on', 'drama', 'and']","['Emma', 'Hugh', 'Thompson', 'Winslet', 'Kate', 'Grant', 'Ang', 'Lee']"
7,17,5,113101,1995,"['crime', 'comedy']","['episode', 'bet', 'director', 'eve', 'angeles', 'film', 'witch', 'hoodlum', 'hotel', 'new', 'room', 'sperm', 'los', 'woman', ""year's""]","['Jennifer', 'Antonio', 'Beals', 'Banderas', 'Roth', 'Tim', 'Allison', 'Anders']"
8,18,9273,112281,1995,"['crime', 'comedy', 'adventure']","['indigenous', 'human', 'africa', 'bat', 'animal', 'relationship']","['Simon', 'McNeice', 'Ian', 'Carrey', 'Jim', 'Callow', 'Steve', 'Oedekerk']"
9,19,11517,113845,1995,"['action', 'crime', 'comedy']","['train', 'york', 'brother', 'robbery', 'new', 'subway', 'city', 'relationship']","['Jennifer', 'Lopez', 'Woody', 'Snipes', 'Wesley', 'Harrelson', 'Joseph', 'Ruben']"
10,20,8012,113161,1995,"['thriller', 'crime', 'comedy']","['mafia', 'producer', 'novel', 'violence', 'miami', 'based', 'mobster', 'hollywood', 'crime', 'drug', 'con', 'murder', 'debt', 'job', 'money', 'gangster', 'business', 'on', 'gambling', 'travel']","['Gene', 'Travolta', 'John', 'Hackman', 'Rene', 'Russo', 'Barry', 'Sonnenfeld']"
11,21,1710,112722,1995,"['thriller', 'drama']","['cowardliness', 'police', 'psychology', 'serial', 'operation', 'protection', 'brutality', 'psychologist', 'killer']","['Sigourney', 'Patton', 'Weaver', 'Hunter', 'Will', 'Holly', 'Jon', 'Amiel']"
12,22,9691,112401,1995,"['action', 'crime', 'adventure', 'thriller']","['rivalry', 'cat', 'of', 'rescue', 'assassination', 'silencer', 'double', 'mexican', 'police', 'hidden', 'camera', 'cross', 'michigan', 'sniper', 'competition', 'caribbean', 'mission', 'hitman', 'chase', 'shootout', 'detroit', 'seattle', 'rifle', 'standoff', 'murder', 'bank', 'cia']","['Stallone', 'Antonio', 'Sylvester', 'Moore', 'Julianne', 'Banderas', 'Richard', 'Donner']"
13,24,451,113627,1995,"['drama', 'romance']","['abuse', 'angeles', 'prostitute', 'rage', 'sight', 'producer', 'attempted', 'film', 'dying', 'lovesickness', 'hotel', 'unsociability', 'alcohol', 'love', 'and', 'at', 'casino', 'suicide', 'screenwriter', 'alcoholism', 'individual', 'los', 'room', 'first', 'death', 'hate']","['Sands', 'Nicolas', 'Shue', 'Elisabeth', 'Julian', 'Cage', 'Mike', 'Figgis']"
14,32,9598,112431,1995,"['comedy', 'fantasy', 'family', 'drama']","['affection', 'grandson', 'piglet', 'heroism', 'separation', 'sheep', 'german', 'pig', 'shepherd', 'talking', 'animal']","['Miriam', 'Cavanaugh', 'Margolyes', 'Danny', 'Christine', 'Mann', 'Chris', 'Noonan']"
