row_number,movie_id,director_name
0,19995,James Cameron
1,285,Gore Verbinski
2,206647,Sam Mendes
3,49026,Christopher Nolan
4,49529,Andrew Stanton
5,559,Sam Raimi
6,38757,Byron Howard
6,38757,Nathan Greno
7,99861,Joss Whedon
8,767,David Yates
9,209112,Zack Snyder
10,1452,Bryan Singer
11,10764,Marc Forster
12,58,Gore Verbinski
13,57201,Gore Verbinski
14,49521,Zack Snyder
15,2454,Andrew Adamson
16,24428,Joss Whedon
17,1865,Rob Marshall
18,41154,Barry Sonnenfeld
19,122917,Peter Jackson
20,1930,Marc Webb
21,20662,Ridley Scott
22,57158,Peter Jackson
23,2268,Chris Weitz
24,254,Peter Jackson
25,597,James Cameron
26,271110,Anthony Russo
26,271110,Joe Russo
27,44833,Peter Berg
28,135397,Colin Trevorrow
29,37724,Sam Mendes
30,558,Sam Raimi
31,68721,Shane Black
32,12155,Tim Burton
33,36668,Brett Ratner
34,62211,Dan Scanlon
35,8373,Michael Bay
36,91314,Michael Bay
37,68728,Sam Raimi
38,102382,Marc Webb
39,20526,Joseph Kosinski
40,49013,John Lasseter
40,49013,Brad Lewis
41,44912,Martin Campbell
42,10193,Lee Unkrich
43,534,McG
44,168259,James Wan
45,72190,Marc Forster
46,127585,Bryan Singer
47,54138,J.J. Abrams
48,81005,Bryan Singer
49,64682,Baz Luhrmann
50,9543,Mike Newell
51,68726,Guillermo del Toro
52,38356,Michael Bay
53,217,Steven Spielberg
54,105864,Peter Sohn
55,62177,Brenda Chapman
55,62177,Mark Andrews
55,62177,Steve Purcell
56,188927,Justin Lin
57,10681,Andrew Stanton
58,5174,Brett Ratner
59,14161,Roland Emmerich
60,17979,Robert Zemeckis
61,76757,Lilly Wachowski
61,76757,Lana Wachowski
62,258489,David Yates
63,411,Andrew Adamson
64,246655,Bryan Singer
65,155,Christopher Nolan
66,14160,Pete Docter
67,15512,Conrad Vernon
67,15512,Rob Letterman
68,1726,Jon Favreau
69,44826,Martin Scorsese
70,8487,Barry Sonnenfeld
71,1735,Rob Cohen
72,297761,David Ayer
73,2698,Tom Shadyac
74,137113,Doug Liman
75,9804,Kevin Reynolds
76,14869,Stephen Sommers
77,150540,Pete Docter
78,278927,Jon Favreau
79,10138,Jon Favreau
80,58595,Rupert Sanders
81,102651,Robert Stromberg
82,119450,Matt Reeves
83,79698,Roland Joff??
84,64686,Carl Rinsch
85,100402,Anthony Russo
85,100402,Joe Russo
86,10192,Mike Mitchell
87,158852,Brad Bird
88,177572,Chris Williams
88,177572,Don Hall
89,82690,Rich Moore
90,5255,Robert Zemeckis
91,47933,Roland Emmerich
92,10191,Chris Sanders
92,10191,Dean DeBlois
93,296,Jonathan Mostow
94,118340,James Gunn
95,157336,Christopher Nolan
96,27205,Christopher Nolan
97,315011,Hideaki Anno
97,315011,Shinji Higuchi
98,49051,Peter Jackson
99,9799,Rob Cohen
100,4922,David Fincher
101,49538,Matthew Vaughn
102,131634,Francis Lawrence
103,27022,Jon Turteltaub
104,503,Wolfgang Petersen
105,241259,James Bobin
106,810,Chris Miller
